ixdat version = 0.2.1dev
name = RuO2 G-450OX-10cyc.txt AND timescan-RuO2G-450Ox-CV-10cyc.txt
technique = EC-MS
tstamp = 1608572231.4
backend_name = BackendBase(none, address=none)
id = 6
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M4' and 'M28' and 'M45' and 'M31' and 'M32' and 'M44' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M4,	M28,	M45,	M31,	M32,	M44,	M18
96,	0.93,	0.006541,	0.0,	9.963579963644755e-12,	6.613177362254761e-13,	8.76364098840015e-14,	9.419725279986507e-14,	3.133e-13,	1.3425e-13,	4.905088381228864e-12
98,	0.94,	0.006847,	0.0,	9.943347391906272e-12,	6.613463165199195e-13,	8.9771e-14,	9.64913678485839e-14,	3.2002894918330803e-13,	1.3556368476001177e-13,	4.886347367562482e-12
100,	0.95,	0.006999,	0.0,	9.847778509643962e-12,	6.641188167901239e-13,	8.967269226766648e-14,	9.670170147217604e-14,	3.2158597578099723e-13,	1.3901e-13,	4.8901371805331925e-12
102,	0.96,	0.007170999999999999,	0.0,	9.935387644098444e-12,	6.567305125641348e-13,	9.118905376196341e-14,	9.319068990282765e-14,	3.135890057727947e-13,	1.3770530095084986e-13,	4.9139912636570064e-12
104,	0.97,	0.007344000000000001,	0.0,	9.912443487337895e-12,	6.472613227741128e-13,	8.951082166838075e-14,	9.263147903051065e-14,	3.163340279437112e-13,	1.3713248498595887e-13,	4.880288978108729e-12
106,	0.98,	0.007586,	0.0,	9.944855665443775e-12,	6.640867003665575e-13,	8.964079045820463e-14,	9.352359890017242e-14,	3.250823965166956e-13,	1.3901e-13,	4.9023332740610555e-12
108,	0.99,	0.007652000000000001,	0.0,	9.8737e-12,	6.485639136085875e-13,	8.798593406413976e-14,	9.611015244838843e-14,	3.1637447787338695e-13,	1.3552744135362547e-13,	4.870586075816214e-12
110,	1.0,	0.007915,	0.0,	9.883836025118907e-12,	6.518577412875015e-13,	8.997098103612978e-14,	9.758941544737857e-14,	3.209078536890825e-13,	1.3425e-13,	4.897340615384896e-12
112,	1.01,	0.008036999999999999,	0.0,	9.906837322098973e-12,	6.533268718317129e-13,	8.835222930674131e-14,	1.0022506154951387e-13,	3.2451049055347935e-13,	1.4261322243462421e-13,	4.89417096965343e-12
114,	1.02,	0.008233,	0.0,	9.974284291708353e-12,	6.5408e-13,	9.156020017981878e-14,	9.537828063650459e-14,	3.2941596748966e-13,	1.4375505751391974e-13,	4.8943458812616e-12
116,	1.03,	0.008579999999999999,	0.0,	9.89242308183542e-12,	6.55681539967797e-13,	8.792892284736695e-14,	9.786e-14,	3.135492310036341e-13,	1.3662e-13,	4.919176921174204e-12
118,	1.04,	0.008871,	0.0,	9.901020517888654e-12,	6.540300078230329e-13,	8.978624944147128e-14,	9.7328058383256e-14,	3.259394817434326e-13,	1.41378485841327e-13,	4.8754791915069744e-12
120,	1.05,	0.009049,	0.0,	9.9551e-12,	6.4177e-13,	8.727353314314605e-14,	9.791423927823742e-14,	3.2001533978181394e-13,	1.4534168396969415e-13,	4.888561722618598e-12
122,	1.06,	0.009293000000000001,	0.0,	1.0007172304752221e-11,	6.516156259228872e-13,	8.73335713085843e-14,	9.662315624664761e-14,	3.1488e-13,	1.4147180754639953e-13,	4.8949e-12
124,	1.07,	0.009493,	0.0,	9.907973623045384e-12,	6.600861536206001e-13,	9.270609903235244e-14,	9.786e-14,	3.29197693018615e-13,	1.426397804889764e-13,	4.942967035116524e-12
126,	1.08,	0.009778,	0.0,	9.958302070291147e-12,	6.599087477736434e-13,	9.146075244678787e-14,	9.820124252737758e-14,	3.1622680480363974e-13,	1.410368146789638e-13,	4.896427021355388e-12
128,	1.09,	0.01005,	0.0,	9.91876201178019e-12,	6.522346640525102e-13,	8.8708e-14,	9.738589915313434e-14,	3.323857284203528e-13,	1.461743653649932e-13,	4.897044064743555e-12
130,	1.1,	0.01038,	0.0,	9.89506267815648e-12,	6.740891160648934e-13,	9.738728998602622e-14,	1.0020324607460856e-13,	3.242326636660064e-13,	1.4408353727890965e-13,	4.892179298340407e-12
132,	1.11,	0.01062,	0.0,	9.9008e-12,	6.743280118436899e-13,	9.0813287047606e-14,	1.0090859356644546e-13,	3.247073520348133e-13,	1.4810797290122305e-13,	4.8949e-12
134,	1.12,	0.011090000000000001,	0.0,	9.9008e-12,	6.629929723780815e-13,	9.702182102141224e-14,	9.807939624315277e-14,	3.180252825462746e-13,	1.4561792434123367e-13,	4.897276883967969e-12
136,	1.13,	0.01153,	0.0,	9.951621057857454e-12,	6.731562131922808e-13,	9.60987893484169e-14,	9.935208441979189e-14,	3.2228526322321816e-13,	1.4037673642634076e-13,	4.899851577441086e-12
138,	1.14,	0.01206,	0.0,	9.9008e-12,	6.644485805177689e-13,	9.502329250431061e-14,	1.0043807804107666e-13,	3.215336820411682e-13,	1.396003995513916e-13,	4.906215991401672e-12
140,	1.15,	0.01286,	0.0,	9.968865008495254e-12,	6.596e-13,	9.071248646447506e-14,	1.0279411054234085e-13,	3.188993575581119e-13,	1.4868e-13,	4.890029736889238e-12
142,	1.16,	0.01419,	0.0,	9.942961384058186e-12,	6.604871951243516e-13,	9.35947541065084e-14,	1.0162245642524629e-13,	3.177329819057742e-13,	1.5314122799118172e-13,	4.90287018389481e-12
144,	1.17,	0.01658,	0.0,	9.954273355287912e-12,	6.687088190992889e-13,	9.494212648011248e-14,	1.0462739490648998e-13,	3.332267734533549e-13,	1.4567811584802846e-13,	4.926181768024434e-12
146,	1.18,	0.02143,	0.0,	9.940383661863618e-12,	6.603103038991052e-13,	9.318365591960405e-14,	1.0065230367250325e-13,	3.503013615113652e-13,	1.5062441237468834e-13,	4.928341008596275e-12
