ixdat version = 0.2.0
name = RuG-450Red CV-46cyc.txt AND timescan-RuG-450Red CV-46cyc.txt
technique = EC-MS
tstamp = 1583411924.38
backend_name = BackendBase(none, address=none)
id = 3
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M28' and 'M4' and 'M44' and 'M32' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M28,	M4,	M44,	M32,	M18
242,	0.7359849998807906,	-0.00556816169890089,	0.0,	9.901616004205949e-13,	3.192073289881372e-11,	2.458583988254317e-13,	5.090718569855125e-13,	7.469e-12
244,	0.7259849998807906,	-0.005455866785351549,	0.0,	9.8291e-13,	3.185330035827661e-11,	2.36769154042724e-13,	5.017613050114934e-13,	7.42626644829781e-12
246,	0.7159849998807906,	-0.005365780401831057,	0.0,	9.617810636972658e-13,	3.177504735783292e-11,	2.3559266304869194e-13,	5.008377482586507e-13,	7.398181646400303e-12
248,	0.7059849998807906,	-0.005272163214648452,	0.0,	9.683656230588815e-13,	3.204001773326044e-11,	2.36665482852793e-13,	4.812393298487547e-13,	7.39005818270525e-12
250,	0.6959849998807905,	-0.005298697405860334,	0.0,	9.716705956279579e-13,	3.184575148459073e-11,	2.3178613420474464e-13,	4.969579691250272e-13,	7.469e-12
252,	0.6859849998807906,	-0.005499660091576664,	0.0,	9.872287035815685e-13,	3.197434909905303e-11,	2.3802703738868216e-13,	4.862117749766343e-13,	7.443484621440034e-12
254,	0.6759849998807906,	-0.005547491205493169,	0.0,	9.840436474329795e-13,	3.183137874651072e-11,	2.2822504914150496e-13,	4.686661357354202e-13,	7.409202180495572e-12
256,	0.6659849998807906,	-0.0056285592650144245,	0.0,	9.7415e-13,	3.202395264782126e-11,	2.2482849743653046e-13,	4.964273554705181e-13,	7.404763908653253e-12
258,	0.6559849998807906,	-0.005852128059521255,	0.0,	9.544113613654662e-13,	3.184078107059824e-11,	2.214654427720135e-13,	4.819050309803096e-13,	7.4401461587802e-12
260,	0.6459849998807906,	-0.006163624844872804,	0.0,	9.658240860491827e-13,	3.1828e-11,	2.174141741714493e-13,	4.728000992052561e-13,	7.458827177582918e-12
262,	0.6359899995350838,	-0.006385972324282569,	0.0,	9.695195960841947e-13,	3.200254371011263e-11,	2.1964574685779351e-13,	4.684176498431877e-13,	7.398884476473294e-12
264,	0.6259899995350838,	-0.006589100941419377,	0.0,	9.628002330946756e-13,	3.1837745630747946e-11,	2.174639999925928e-13,	4.663277475878636e-13,	7.445153786191305e-12
266,	0.6159899995350838,	-0.006822816652842366,	0.0,	9.76952085469963e-13,	3.192347493200412e-11,	2.054406015650103e-13,	4.583373761650678e-13,	7.314542688038339e-12
268,	0.6059899995350838,	-0.007140401964294441,	0.0,	9.6201e-13,	3.1581809711900573e-11,	2.026729068309063e-13,	4.704950496784932e-13,	7.436041479164894e-12
270,	0.5959899995350838,	-0.007405913025709861,	0.0,	9.6699012509093e-13,	3.1695e-11,	2.047453294393221e-13,	4.723789383324793e-13,	7.449852506035119e-12
272,	0.5859899995350838,	-0.007616226191407158,	0.0,	9.82123550433762e-13,	3.171114990369206e-11,	2.0232605518332367e-13,	4.623004732726644e-13,	7.357601775019374e-12
274,	0.5759899995350838,	-0.007986768737132851,	0.0,	1.0046511029488177e-12,	3.166500604383988e-11,	2.0337110091342038e-13,	4.5586990334013e-13,	7.430152508089629e-12
276,	0.5659899995350838,	-0.00846843360714111,	0.0,	9.622530456909246e-13,	3.165624631429724e-11,	1.9840798567818027e-13,	4.62845643964001e-13,	7.427694984045765e-12
278,	0.5559949991714956,	-0.008960368394167806,	0.0,	9.621043816768494e-13,	3.1962e-11,	1.9391389758288983e-13,	4.4988237068688874e-13,	7.418288245037754e-12
280,	0.5459949991714956,	-0.009415243479801778,	0.0,	9.575831921569217e-13,	3.1703325407992056e-11,	1.9423730650003384e-13,	4.5969e-13,	7.398707099701294e-12
282,	0.5359949991714956,	-0.0099616026534551,	0.0,	9.708381649574515e-13,	3.171442595198146e-11,	2.0864437204210463e-13,	4.607163861196175e-13,	7.409959362561792e-12
284,	0.5259949991714956,	-0.010599823421043535,	0.0,	9.6944927944211e-13,	3.1732360901795996e-11,	1.8889645774159752e-13,	4.63274695285049e-13,	7.299651774243456e-12
286,	0.5159949991714956,	-0.011067461043247927,	0.0,	9.771678080584544e-13,	3.1886875711493754e-11,	1.8743789663307802e-13,	4.638811543104389e-13,	7.314981940120724e-12
288,	0.5059949991714956,	-0.01131977611201379,	0.0,	9.764350396941095e-13,	3.171834712336446e-11,	1.9201516715635747e-13,	4.602697431756792e-13,	7.347768336647055e-12
290,	0.49599499917149564,	-0.011476076545816291,	0.0,	9.975974992193789e-13,	3.184473771039148e-11,	1.8942196154547917e-13,	4.617758300399904e-13,	7.351302152633045e-12
292,	0.48599499917149563,	-0.011736193382932332,	0.0,	9.581983155726372e-13,	3.176154138584687e-11,	1.9725934981321524e-13,	4.377648500031977e-13,	7.390363904365458e-12
