ixdat version = 0.2.1dev
name = 01-Ru rgo 450H-50Ag.txt AND timescan-sem190-LOW.txt
technique = EC-MS
tstamp = 1577186652.6
backend_name = BackendBase(none, address=none)
id = 9
timecol 'projected time / [s]' for: 'Ewe/V' and 'I/mA' and 'selector' and 'M4' and 'M28' and 'M44' and 'M32' and 'M18'
aliases = {"t": ["time/s"], "raw_potential": ["Ewe/V", "<Ewe>/V"], "raw_current": ["I/mA", "<I>/mA"], "cycle": ["cycle number"], "time/s": ["projected time / [s]"]}
time_step = 2
N_header_lines = 12

projected time / [s],	Ewe/V,	I/mA,	selector,	M4,	M28,	M44,	M32,	M18
138,	1.1632549999955297,	0.118,	0.0,	7.8585e-11,	1.3164883624451684e-12,	1.2135038474741735e-12,	5.73885435403139e-12,	1.8598799809735377e-11
140,	1.16332,	0.118,	0.0,	7.87798708516649e-11,	1.3197058314312271e-12,	1.2452427374874693e-12,	5.736055531174255e-12,	1.8450323125553594e-11
142,	1.1633899999970199,	0.118,	0.0,	7.882968739153208e-11,	1.3333263876941367e-12,	1.2060820270684863e-12,	5.808913764638468e-12,	1.830987475571213e-11
144,	1.16346,	0.118,	0.0,	7.89100316349026e-11,	1.314897126750284e-12,	1.1789888525435078e-12,	5.842302733490335e-12,	1.848553650296824e-11
146,	1.1635349999955298,	0.118,	0.0,	7.898582449758101e-11,	1.3292704138984402e-12,	1.2270656808896448e-12,	5.881266539948987e-12,	1.8507580874220317e-11
148,	1.16361,	0.118,	0.0,	7.8585e-11,	1.3154781077652043e-12,	1.2275952603136027e-12,	6.286267798089077e-12,	1.8409369840612234e-11
150,	1.1637049999925495,	0.118,	0.0,	7.864700983629531e-11,	1.3516080879393109e-12,	1.2313241605267217e-12,	6.081277509179351e-12,	1.8521808670724642e-11
152,	1.16387,	0.118,	0.0,	7.8585e-11,	1.3252497968974547e-12,	1.2115760281155244e-12,	6.193900124005884e-12,	1.8528e-11
154,	1.1639199999970198,	0.118,	0.0,	7.8538147891947e-11,	1.3367177521688097e-12,	1.208002071514292e-12,	6.1731733806345794e-12,	1.8714198236831017e-11
156,	1.16399,	0.118,	0.0,	7.8585e-11,	1.3037607123890476e-12,	1.193003108089868e-12,	6.230337122254036e-12,	1.8658813689718976e-11
158,	1.1640599999970198,	0.118,	0.0,	7.829592895266991e-11,	1.3213e-12,	1.2276848137231297e-12,	6.3037098648397e-12,	1.8423314601328375e-11
160,	1.16396,	0.118,	0.0,	7.848094687541433e-11,	1.3707500087316632e-12,	1.2109e-12,	6.381147650537577e-12,	1.8527089196030017e-11
162,	1.1640249999955297,	0.118,	0.0,	7.848193689870196e-11,	1.3561451437721942e-12,	1.2194395141075518e-12,	6.208356594438181e-12,	1.8601716495533817e-11
164,	1.1641,	0.118,	0.0,	7.8585e-11,	1.295069528646456e-12,	1.2273048503830785e-12,	6.147371404977579e-12,	1.834224471931767e-11
166,	1.1641749999955298,	0.118,	0.0,	7.887855323811952e-11,	1.3237e-12,	1.1785934924420836e-12,	6.437811533040961e-12,	1.8340940838800818e-11
168,	1.16425,	0.118,	0.0,	7.84276332121255e-11,	1.3244184462353266e-12,	1.1763268269055554e-12,	6.478615047242845e-12,	1.8709637047748367e-11
170,	1.1643249999955296,	0.118,	0.0,	7.853061043295312e-11,	1.3316172587316694e-12,	1.1807249514227994e-12,	6.46406536793585e-12,	1.8433588759903543e-11
172,	1.1644,	0.118,	0.0,	7.8585e-11,	1.3374236683301885e-12,	1.1665485261666695e-12,	6.366580494941836e-12,	1.833659470376967e-11
174,	1.1644749999955297,	0.118,	0.0,	7.8585e-11,	1.3511199196618688e-12,	1.204592897806361e-12,	6.574324463111424e-12,	1.8363252474944885e-11
176,	1.16455,	0.118,	0.0,	7.841299797602835e-11,	1.327505425222148e-12,	1.1883143942756966e-12,	6.423273059733498e-12,	1.8368830407728714e-11
178,	1.1646249999955296,	0.118,	0.0,	7.853443490184867e-11,	1.3531591706983078e-12,	1.2042139040833064e-12,	6.639225445612345e-12,	1.84824674471623e-11
180,	1.1647,	0.118,	0.0,	7.855693785292536e-11,	1.338480468062254e-12,	1.167738757058507e-12,	6.935578160386586e-12,	1.8509681463589202e-11
182,	1.1647849999955298,	0.118,	0.0,	7.840304711013004e-11,	1.3018735465722548e-12,	1.1683e-12,	6.840699299484103e-12,	1.8481448896358383e-11
184,	1.16486,	0.118,	0.0,	7.837809462443663e-11,	1.3172035551174883e-12,	1.1689088770719375e-12,	6.732043467095413e-12,	1.8528e-11
